accepted,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_3,residual_4,residual_5,residual_norm,sensor_is_dropout,sensor_is_outlier,source,sqrt_condition,stale_s,time_s
0.0,0.0,0.0,14.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,14.0
0.0,0.0,0.0,14.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,14.0
0.0,0.0,0.0,14.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,14.0
1.0,55.0,0.830241126052962,14.3333333333,2.974106298004632,-1.4318004207662227,,,,,,1.4318004207662227,0.0,0.0,barometer_altitude,88.82443639737437,0.0,14.3333333333
1.0,55.0,0.8305963261566986,14.6666666667,0.11069609791932336,0.27634789567721896,,,,,,0.27634789567721896,0.0,0.0,barometer_altitude,94.69812515126571,0.0,14.6666666667
1.0,55.0,0.8307539173212,15.0,0.7255012147046325,-0.7076059397335968,,,,,,0.7076059397335968,0.0,0.0,barometer_altitude,100.97148859486336,0.0,15.0
0.0,0.0,0.0,15.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,15.0
0.0,0.0,0.0,15.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,15.0
0.0,0.0,0.0,15.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,15.0
1.0,55.0,0.8301766178643301,15.3333333333,0.3425653389614372,0.48589474985811876,,,,,,0.48589474985811876,0.0,0.0,barometer_altitude,107.64457684384885,0.0,15.3333333333
1.0,55.0,0.8295816441798934,15.6666666667,5.7244581079157255,1.984843753104684,,,,,,1.984843753104684,0.0,0.0,barometer_altitude,114.71313302289717,0.0,15.6666666667
1.0,55.0,4.829990078225729,16.0,9.038375393500639,-1.6489455614175483,-2.054750125238492,0.7344025676229506,-0.5405873900196454,-0.11714730499384451,0.8004226763909059,2.9029297875101574,0.0,0.0,gps_position_velocity,84.40372883152678,0.0,16.0
1.0,55.0,0.8193902444552429,16.0,0.3957538973931939,0.5154699935113598,,,,,,0.5154699935113598,0.0,0.0,barometer_altitude,84.40372890616541,0.0,16.0
0.0,0.0,0.0,16.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,16.0
0.0,0.0,0.0,16.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,16.0
0.0,0.0,0.0,16.0,0.0,,,,,,,0.0,0.0,0.0,range_beacon_unsupported,,0.0,16.0
1.0,55.0,0.8195770302417512,16.3333333333,0.33855219592245334,0.4768728483233673,,,,,,0.4768728483233673,0.0,0.0,barometer_altitude,88.7927570739607,0.0,16.3333333333
