altitude_m,ax,ay,az,bax_true,bay_true,baz_true,bias_true_m,gx,gy,gz,is_dropout,is_outlier,kind,latency_s,measurement_time_s,sensor,time_s,valid,vx,vy,vz,x,y,z
,0.39852671550122715,0.22437552094078878,-0.15890667060221025,0.03236437373722706,-0.031018124796485025,0.01573108775311496,,-0.0009303338627706358,-0.0004686935626344541,0.01446566964815959,0.0,0.0,inertial,,33.0,imu,33.0,1.0,,,,,,
,,,,,,,,,,,1.0,0.0,position_velocity,0.0,33.0,gps,33.0,0.0,21.712250414773976,0.5640800976318349,0.6364257052308914,705.6875019009436,53.48909840513514,126.54127056876166
128.65454150793008,,,,,,,0.013902445979186863,,,,0.0,0.0,altitude,,33.0,barometer,33.0,1.0,,,,,,
,0.3926427807304023,0.22371506494671817,-0.1333847671352913,0.03264598575904219,-0.03096899085419293,0.015863339288013013,,-0.0015011541548526888,0.0009282130985284459,0.01407741390257502,0.0,0.0,inertial,,33.05,imu,33.05,1.0,,,,,,
,0.42183286897919425,0.323429525186727,-0.1954490076757556,0.032834034338989286,-0.030963147561871462,0.015967051694498084,,0.0013141073612439234,0.00011223525519370749,0.014681742604499302,0.0,0.0,inertial,,33.1,imu,33.1,1.0,,,,,,
,0.33608481129761236,0.22308191116115686,-0.10020824444816748,0.0326907377782952,-0.03091889330183227,0.016021321515670754,,-0.0019220173352610323,-0.0017253240772023188,0.012883493837493855,0.0,0.0,inertial,,33.15,imu,33.15,1.0,,,,,,
,0.3955179062807791,0.24846834279626112,-0.13898425549214727,0.032669254262130056,-0.03059868943391933,0.015790556925408962,,0.00047869339857874545,-7.710192550586092e-05,0.016798355647916433,0.0,0.0,inertial,,33.2,imu,33.2,1.0,,,,,,
127.06331262098094,,,,,,,0.01112049925076328,,,,0.0,0.0,altitude,,33.2,barometer,33.2,1.0,,,,,,
,0.41234816994225626,0.29511702680727125,-0.20092841860192762,0.03280623385554935,-0.030723663961216473,0.01597009251737186,,-0.00044150389833262215,0.001089594537254606,0.015445763707629507,0.0,0.0,inertial,,33.25,imu,33.25,1.0,,,,,,
,0.3668581312920932,0.22101247945523173,-0.2177641251097475,0.03303684091595939,-0.030727889318416593,0.015903014109891853,,-0.0012738337311303022,-7.966068287139802e-05,0.013458209523297262,0.0,0.0,inertial,,33.3,imu,33.3,1.0,,,,,,
,0.4228459838227557,0.2665321999546225,-0.21208179107449693,0.033033598104356125,-0.030874252869120575,0.01600696136866044,,-0.0004893593466374304,5.718588514420667e-05,0.015204344801131989,0.0,0.0,inertial,,33.35,imu,33.35,1.0,,,,,,
,0.3851977393763706,0.26033012923910914,-0.19303693485930626,0.033037600749505576,-0.031114172805896498,0.016036858695399527,,0.0012101197707603342,0.002388785591712317,0.012636608519824597,0.0,0.0,inertial,,33.4,imu,33.4,1.0,,,,,,
127.62241848467178,,,,,,,0.012728991356435671,,,,0.0,0.0,altitude,,33.4,barometer,33.4,1.0,,,,,,
,0.4524547647322446,0.25322651558192066,-0.18880373325703514,0.03315368696056945,-0.03110667155736344,0.016311423283195164,,-0.0024912989905905925,0.002695774929452361,0.013418799967277708,0.0,0.0,inertial,,33.45,imu,33.45,1.0,,,,,,
,0.4135827566873458,0.37286199075408816,-0.23851046030484957,0.0330919131413702,-0.0312963461847413,0.016286235323397034,,-0.002416477661142767,0.0032771621681537814,0.01420972921432875,0.0,0.0,inertial,,33.5,imu,33.5,1.0,,,,,,
,0.44762451791822055,0.28771317777019084,-0.20877996004371743,0.03311134728479954,-0.031395959520223095,0.01621272700359462,,0.0003791110853429684,0.0037447190202796565,0.014561074699338487,0.0,0.0,inertial,,33.55,imu,33.55,1.0,,,,,,
,0.44640842272720255,0.2475798736387182,-0.17607284887619098,0.03320838567537585,-0.03133532605190263,0.01580615034963323,,2.341712283993562e-05,-0.0006365439606618802,0.014420233306764134,0.0,0.0,inertial,,33.6,imu,33.6,1.0,,,,,,
126.5315782527716,,,,,,,0.012738283755913184,,,,0.0,0.0,altitude,,33.6,barometer,33.6,1.0,,,,,,
,0.4539042083901128,0.3142135123870283,-0.2259329586513581,0.03325476048212525,-0.031298853375751445,0.01594297737463787,,-0.0006609367782715254,0.0026276867303221354,0.01311152071150032,0.0,0.0,inertial,,33.65,imu,33.65,1.0,,,,,,
,0.42130344690864635,0.380405843590247,-0.1984014551474164,0.03311122845175877,-0.03095551217897181,0.01575579086355806,,-0.0009920128965439378,0.0021308403244578917,0.016249342007213882,0.0,0.0,inertial,,33.7,imu,33.7,1.0,,,,,,
,0.43029691707906276,0.2179412703316572,-0.13921288681200092,0.03297749309393357,-0.030713108109031453,0.01575311507797031,,0.0005993856895705613,0.0024201765119754547,0.012374338310150798,0.0,0.0,inertial,,33.75,imu,33.75,1.0,,,,,,
,0.4857235435152509,0.20686585524193735,-0.22850606005999702,0.03303520041792101,-0.030941900702594557,0.015703777281237747,,-0.002702980531061844,0.00035324921198302676,0.013360915198744076,0.0,0.0,inertial,,33.8,imu,33.8,1.0,,,,,,
128.44311908857597,,,,,,,0.012103231604848944,,,,0.0,0.0,altitude,,33.8,barometer,33.8,1.0,,,,,,
,0.35640474594392696,0.2975241252457722,-0.16759970101847999,0.03308014811509454,-0.030851895778602586,0.015766800729060608,,-0.001565262985813867,0.0010524179681243454,0.01441320109184499,0.0,0.0,inertial,,33.85,imu,33.85,1.0,,,,,,
,0.5110501453431641,0.2520619377934488,-0.113605646636761,0.03316060747837791,-0.030943974304204203,0.01566645641640393,,0.000414136065966551,0.0014948566444900552,0.01869310702953757,0.0,0.0,inertial,,33.9,imu,33.9,1.0,,,,,,
,0.4774821104725112,0.3303170103197238,-0.21234822991483585,0.033046127081143656,-0.03062014793296572,0.015696988567969465,,-0.0009450922028168964,0.0021136202963893936,0.012940641839087068,0.0,0.0,inertial,,33.95,imu,33.95,1.0,,,,,,
,0.4518835288471966,0.30476781447747403,-0.2473631534559743,0.03295375006830624,-0.03044259202936332,0.015820235566202608,,-0.0004357220877059734,-0.0011551251774009497,0.016152761667856615,0.0,0.0,inertial,,34.0,imu,34.0,1.0,,,,,,
,,,,,,,,,,,1.0,0.0,position_velocity,0.0,34.0,gps,34.0,0.0,21.664968585505044,0.8483984349383665,-0.19429554529586754,723.7969912485779,52.88490080051925,128.12421605297592
127.29334828516141,,,,,,,0.009633991823351847,,,,0.0,0.0,altitude,,34.0,barometer,34.0,1.0,,,,,,
,0.3457757313512154,0.25630765206341616,-0.28204244690981906,0.032747001183038166,-0.030512331218163664,0.015671913219472346,,0.003517708556962645,-0.001609692767237131,0.01722297694503837,0.0,0.0,inertial,,34.05,imu,34.05,1.0,,,,,,
,0.4348830623405957,0.26881817334335917,-0.24729762045542295,0.03245405294357188,-0.030483958567374524,0.015720045653358224,,0.0003327742088686428,-0.0010762188688779966,0.014150809564056004,0.0,0.0,inertial,,34.1,imu,34.1,1.0,,,,,,
,0.4299187281696722,0.31368109900409535,-0.11624769543900487,0.032324586995622274,-0.030342648155751935,0.015970466466924453,,-0.0020819244310978993,-0.0018908777441720582,0.014698553631575316,0.0,0.0,inertial,,34.15,imu,34.15,1.0,,,,,,
,0.40356442242731155,0.2700532168257394,-0.24568083677822133,0.03220381405609517,-0.030394821990865732,0.016118073790792047,,0.0002651959780121893,0.0006121885371052632,0.01572065989086793,0.0,0.0,inertial,,34.2,imu,34.2,1.0,,,,,,
127.94180554593507,,,,,,,0.00846722015494724,,,,0.0,0.0,altitude,,34.2,barometer,34.2,1.0,,,,,,
,0.4607983285319416,0.284487958821954,-0.29029073010309275,0.032312811223994486,-0.03052234136627078,0.01624213600101232,,0.0018824676656448943,-0.003959324628562628,0.014902260227013185,0.0,0.0,inertial,,34.25,imu,34.25,1.0,,,,,,
,0.43461692559859255,0.27773428457360005,-0.2180037836915665,0.03230447598351811,-0.03054325432238397,0.016249880114076996,,-0.002338467520068905,-0.0005477808564817651,0.017626515393213707,0.0,0.0,inertial,,34.3,imu,34.3,1.0,,,,,,
,0.3850823097183512,0.2811355942453499,-0.14067935932321746,0.03231156350190945,-0.030379140830043897,0.01630512630133005,,0.0038770530223770764,-0.0032987699360969174,0.01629572530786186,0.0,0.0,inertial,,34.35,imu,34.35,1.0,,,,,,
,0.47880097336603095,0.2839573269806663,-0.16731262746271985,0.03212492477913227,-0.030354765154077812,0.01667507104155095,,-0.002433097858667858,-0.00039969863826267457,0.017375923710699168,0.0,0.0,inertial,,34.4,imu,34.4,1.0,,,,,,
127.80298566769915,,,,,,,0.007913279510876642,,,,0.0,0.0,altitude,,34.4,barometer,34.4,1.0,,,,,,
,0.3848887197776572,0.3358218269969989,-0.15380252828408847,0.03199196844276642,-0.030356683902610027,0.016678899385401826,,0.0015541566062431153,-0.00013309777864531054,0.015150527430323468,0.0,0.0,inertial,,34.45,imu,34.45,1.0,,,,,,
,0.515696188551852,0.2683557149123809,-0.18100438727872595,0.03207386341154082,-0.030435155016037895,0.01664122949354339,,-7.72602337156858e-06,0.004105100032987788,0.016145969662907152,0.0,0.0,inertial,,34.5,imu,34.5,1.0,,,,,,
,0.4309646028741897,0.3260652454425841,-0.24213940274377224,0.03212430445712311,-0.03038201621402603,0.016767641812873917,,-0.0020234806012894503,-0.000121540475516694,0.014496581511523032,0.0,0.0,inertial,,34.55,imu,34.55,1.0,,,,,,
,0.38551531812800477,0.3254328659612561,-0.2087677897869888,0.03206261433501697,-0.030528791522320044,0.016603830287015574,,-0.004725583499606096,0.00048368844885348636,0.018147807988031246,0.0,0.0,inertial,,34.6,imu,34.6,1.0,,,,,,
127.71071497351916,,,,,,,0.0101068709291702,,,,0.0,0.0,altitude,,34.6,barometer,34.6,1.0,,,,,,
,0.43377832360227975,0.304839116865223,-0.23983380062315213,0.03212178786402724,-0.030549787132096433,0.01648639033774739,,0.001840304358524412,0.001281210028067291,0.014520850415939592,0.0,0.0,inertial,,34.65,imu,34.65,1.0,,,,,,
,0.4410742841531142,0.2683311078653526,-0.16882409679692528,0.032563407284019824,-0.030613436515317723,0.016571462348898537,,-0.0004211854547646175,0.00045909778178941754,0.0165082017361718,0.0,0.0,inertial,,34.7,imu,34.7,1.0,,,,,,
,0.41218650978427007,0.2798650112170987,-0.24163444246890795,0.032531537004721986,-0.03056429162199804,0.016186498154180818,,-0.005397020790714197,0.00436656894641376,0.01850866557709726,0.0,0.0,inertial,,34.75,imu,34.75,1.0,,,,,,
,0.4644422934753301,0.30288611653346953,-0.19721120769171618,0.03252699786432267,-0.030351473482087624,0.01643082404167467,,0.0017452941450710312,0.0002943304425093112,0.0173372836479849,0.0,0.0,inertial,,34.8,imu,34.8,1.0,,,,,,
127.85970169087948,,,,,,,0.010344269889015439,,,,0.0,0.0,altitude,,34.8,barometer,34.8,1.0,,,,,,
,0.475003163998607,0.2754927471761659,-0.20034735453615657,0.03247486653220316,-0.03013304932568666,0.016331041397292384,,0.0023612988535954673,-8.020543050548355e-05,0.015381734297001086,0.0,0.0,inertial,,34.85,imu,34.85,1.0,,,,,,
,0.4565729981183655,0.3456917664086195,-0.23409446552420407,0.03252153117604572,-0.029828795523578724,0.016211014210576025,,-0.0002090798046739135,-0.003229771685105053,0.011040292124228527,0.0,0.0,inertial,,34.9,imu,34.9,1.0,,,,,,
