baro_valid,baro_z,gps_valid,gps_x,gps_y,gps_z,imu_ax,imu_ay,imu_az,time_s
0.0,nan,0.0,nan,nan,nan,-0.12064722509334251,-0.35833031314662506,-0.2101336519304941,17.9
0.0,nan,0.0,nan,nan,nan,-0.31508945901736196,-0.3643918621489505,-0.1575724841298676,17.95
1.0,129.51035261039686,1.0,384.21568529012876,50.510458847523296,132.0350507073457,-0.28816896319852103,-0.3854285644955733,-0.13636083213862044,18.0
0.0,nan,0.0,nan,nan,nan,-0.2230110933017172,-0.4407256694864559,-0.0615619280155765,18.05
0.0,nan,0.0,nan,nan,nan,-0.26050836575192576,-0.39519912917423156,-0.146164144068253,18.1
0.0,nan,0.0,nan,nan,nan,-0.24357405635895676,-0.3684200740504836,-0.16253642630636045,18.15
1.0,129.85109253394657,0.0,nan,nan,nan,-0.2837147850345936,-0.3694671145202272,-0.108575869260408,18.2
0.0,nan,0.0,nan,nan,nan,-0.1612953090879528,-0.38956985867558536,-0.14229217304969421,18.25
0.0,nan,0.0,nan,nan,nan,-0.21070812687852103,-0.33292512813207037,-0.05559070047372047,18.3
0.0,nan,0.0,nan,nan,nan,-0.2584649936946604,-0.3413994357117824,-0.09421629268138998,18.35
1.0,130.9459913037945,0.0,nan,nan,nan,-0.1846818705834839,-0.40212293155066037,-0.11670142871020353,18.4
0.0,nan,0.0,nan,nan,nan,-0.27868994846984607,-0.42875847357058683,-0.04921776842594894,18.45
0.0,nan,0.0,nan,nan,nan,-0.240993198894426,-0.3959017216233331,-0.1299717736024391,18.5
0.0,nan,0.0,nan,nan,nan,-0.3599147988887289,-0.3373633263274226,-0.1393154713165909,18.55
1.0,129.84845168426352,0.0,nan,nan,nan,-0.30592682039797575,-0.4359261514639814,-0.09868406734569686,18.6
0.0,nan,0.0,nan,nan,nan,-0.2541115401130958,-0.3671831393562245,-0.10576882767099194,18.65
0.0,nan,0.0,nan,nan,nan,-0.24438193479875986,-0.3763653436938278,-0.05167064690245407,18.7
0.0,nan,0.0,nan,nan,nan,-0.3446145804374131,-0.37780293109749724,-0.10859301289430798,18.75
1.0,129.1262168385485,0.0,nan,nan,nan,-0.266066802463987,-0.43179867288615065,-0.10301039011075346,18.8
0.0,nan,0.0,nan,nan,nan,-0.27789185638740055,-0.4391409772883677,-0.12198349195757151,18.85
0.0,nan,0.0,nan,nan,nan,-0.2875572005910834,-0.38353739332261566,-0.11522333830873371,18.9
0.0,nan,0.0,nan,nan,nan,-0.28089891794576355,-0.39401273210425797,-0.07542340830054692,18.95
1.0,129.23206126836092,1.0,407.35412650402867,55.27549118115532,127.32381416490949,-0.28474873361534125,-0.3792838445748848,-0.03094751470017311,19.0
0.0,nan,0.0,nan,nan,nan,-0.28741210520192023,-0.391414003689303,-0.12650181594543952,19.05
0.0,nan,0.0,nan,nan,nan,-0.2889361353742988,-0.375080938516866,-0.08018549599706305,19.1
0.0,nan,0.0,nan,nan,nan,-0.23265238961128554,-0.4405758238295214,-0.005809919056870727,19.15
1.0,130.28532938861176,0.0,nan,nan,nan,-0.33690354070868644,-0.4119358631600685,-0.03929290153957355,19.2
0.0,nan,0.0,nan,nan,nan,-0.3309226145044664,-0.33758943670808905,-0.07479418863403521,19.25
0.0,nan,0.0,nan,nan,nan,-0.2748012216133988,-0.3828303852974086,-0.0986909909993314,19.3
0.0,nan,0.0,nan,nan,nan,-0.248822561532953,-0.3948542017011333,-0.06852458259486965,19.35
1.0,128.95492014735632,0.0,nan,nan,nan,-0.30218331822689853,-0.42522803341232196,-0.09747754081134154,19.4
0.0,nan,0.0,nan,nan,nan,-0.33327846364318037,-0.3482410215520395,-0.06712471210295716,19.45
0.0,nan,0.0,nan,nan,nan,-0.2863746949425225,-0.3417108438037782,-0.07195762864660563,19.5
0.0,nan,0.0,nan,nan,nan,-0.29505679706523236,-0.3490662625310428,-0.11318376494423636,19.55
1.0,129.98223615659117,0.0,nan,nan,nan,-0.24796517117087888,-0.4080467291602714,-0.0864462426481772,19.6
0.0,nan,0.0,nan,nan,nan,-0.3668547799444713,-0.4563377396292051,-0.12203733558284666,19.65
0.0,nan,0.0,nan,nan,nan,-0.2198709751158757,-0.38814280048598593,-0.08832892379290698,19.7
0.0,nan,0.0,nan,nan,nan,-0.3266998701597356,-0.3758931425937919,-0.02994410399308074,19.75
1.0,129.20169353003018,0.0,nan,nan,nan,-0.392553692628959,-0.37912558051679657,-0.117468685314814,19.8
0.0,nan,0.0,nan,nan,nan,-0.32905175129284236,-0.3455125879389974,-0.10062539497435595,19.85
0.0,nan,0.0,nan,nan,nan,-0.31977923860289786,-0.4238822743728765,-0.11488568917835074,19.9
0.0,nan,0.0,nan,nan,nan,-0.36354747719315106,-0.278467725336481,-0.0042879855900141775,19.95
1.0,130.3194753086322,1.0,429.5019872986029,51.12849092073124,132.47750908458303,-0.428968851073092,-0.3696742309711798,-0.040917304031810806,20.0
0.0,nan,0.0,nan,nan,nan,-0.38280857969002313,-0.3319665029287573,-0.040922939040337204,20.05
0.0,nan,0.0,nan,nan,nan,-0.3020862364912689,-0.2625406141373735,-0.08990822131097868,20.1
0.0,nan,0.0,nan,nan,nan,-0.3318678575313873,-0.4209620888025708,-0.04596234170064435,20.15
1.0,129.16298728178296,0.0,nan,nan,nan,-0.36265072242671953,-0.3050277153198729,-0.0016656238024513464,20.2
0.0,nan,0.0,nan,nan,nan,-0.33899470836447726,-0.3671801567185418,-0.07987642029616514,20.25
0.0,nan,0.0,nan,nan,nan,-0.41187912573340896,-0.4010167634394549,-0.0014623821910416494,20.3
0.0,nan,0.0,nan,nan,nan,-0.3489221536264548,-0.33088570974636305,-0.05449891521829234,20.35
1.0,128.88840602072682,0.0,nan,nan,nan,-0.33069268062351914,-0.36189406310461103,-0.0022299191193664598,20.4
0.0,nan,0.0,nan,nan,nan,-0.41838597042919917,-0.349237964792602,0.0187703724575728,20.45
0.0,nan,0.0,nan,nan,nan,-0.33129730932709067,-0.2874897732150722,-0.05278631969988766,20.5
0.0,nan,0.0,nan,nan,nan,-0.36181112037553226,-0.3186236167898437,-0.025998240641258677,20.55
1.0,127.95422821560938,0.0,nan,nan,nan,-0.3219904017566794,-0.35369606784926383,0.04062552668607631,20.6
0.0,nan,0.0,nan,nan,nan,-0.41276495824933485,-0.38419937842772284,0.08970737789713143,20.65
0.0,nan,0.0,nan,nan,nan,-0.2862133121775621,-0.36301079087110705,0.0454868189544019,20.7
0.0,nan,0.0,nan,nan,nan,-0.35771318636675037,-0.42280506361770814,0.07680043351258597,20.75
1.0,128.53743049784643,0.0,nan,nan,nan,-0.3336752233183001,-0.256308671158181,-0.009286398703066696,20.8
0.0,nan,0.0,nan,nan,nan,-0.3623430243426333,-0.39734126987562873,-0.031481670248667534,20.85
0.0,nan,0.0,nan,nan,nan,-0.35709931620685453,-0.37682268517456896,0.03017534119940552,20.9
